Marker file version: 1
Time format: Time
[input]	00:00:00.00000000		WALL-E and his friends are creating a one-of-a-kind-garden for EVE! They remove rocks, sticks, and trash from the soil, making it perfect for growing plants!
WALL-E	00:00:00.01000000	00:00:00.51997917	
and	00:00:00.52000000	00:00:00.64243750	
his	00:00:00.65493750	00:00:00.87416667	
friends	00:00:00.90941667	00:00:01.30000000	
are	00:00:01.33610417	00:00:01.51995833	
creating	00:00:01.52000000	00:00:02.17916667	
a	00:00:02.20000000	00:00:02.51995833	
one-of-a-kind-garden	00:00:02.52000000	00:00:03.95997917	
for	00:00:03.96000000	00:00:04.28845833	
EVE!	00:00:04.35072917	00:00:04.87543750	
They	00:00:05.28000000	00:00:05.45527083	
remove	00:00:05.50000000	00:00:05.95997917	
rocks,	00:00:05.96000000	00:00:06.47560417	
sticks,	00:00:06.53706250	00:00:07.10666667	
and	00:00:07.18104167	00:00:07.35997917	
trash	00:00:07.40770833	00:00:08.00000000	
from	00:00:08.01304167	00:00:08.14070833	
the	00:00:08.18887500	00:00:08.25508333	
soil,	00:00:08.26875000	00:00:08.87029167	
making	00:00:09.07925000	00:00:09.54306250	
it	00:00:09.60000000	00:00:09.79997917	
perfect	00:00:09.85483333	00:00:10.47133333	
for	00:00:10.48195833	00:00:10.61831250	
growing	00:00:10.65727083	00:00:11.19995833	
plants!	00:00:11.20000000	00:00:11.88777083	
