Marker file version: 1
Time format: Time
[input]	00:00:00.00000000		EVE is thrilled by the wonderful surprise and gets straight to work. The plants will need water, sufficient space, and plenty of sunlight to grow.
EVE	00:00:00.01000000	00:00:00.44804167	
is	00:00:00.50000000	00:00:00.83995833	
thrilled	00:00:00.84000000	00:00:01.32645833	
by	00:00:01.36000000	00:00:01.52066667	
the	00:00:01.53787500	00:00:01.68906250	
wonderful	00:00:01.73945833	00:00:02.15997917	
surprise	00:00:02.16000000	00:00:02.80000000	
and	00:00:02.81950000	00:00:02.99997917	
gets	00:00:03.00000000	00:00:03.15997917	
straight	00:00:03.16000000	00:00:03.57047917	
to	00:00:03.64000000	00:00:03.79995833	
work.	00:00:03.82245833	00:00:04.21552083	
The	00:00:04.62264583	00:00:04.70000000	
plants	00:00:04.76560417	00:00:05.31997917	
will	00:00:05.32000000	00:00:05.52145833	
need	00:00:05.54808333	00:00:05.74777083	
water,	00:00:05.80000000	00:00:06.28027083	
sufficient	00:00:06.48587500	00:00:07.04050000	
space,	00:00:07.10000000	00:00:07.69022917	
and	00:00:07.92910417	00:00:08.11995833	
plenty	00:00:08.15675000	00:00:08.63995833	
of	00:00:08.64000000	00:00:08.71997917	
sunlight	00:00:08.72000000	00:00:09.43995833	
to	00:00:09.44000000	00:00:09.55997917	
grow.	00:00:09.59131250	00:00:10.12297917	
