Marker file version: 1
Time format: Time
[input]	00:00:00.00000000		EVE plants some flowers and vegetables that need shade in a corner.
EVE	00:00:00.01000000	00:00:00.43997917	
plants	00:00:00.47693750	00:00:00.79997917	
some	00:00:00.80000000	00:00:01.07997917	
flowers	00:00:01.08000000	00:00:01.55718750	
and	00:00:01.57552083	00:00:01.75995833	
vegetables	00:00:01.80000000	00:00:02.50000000	
that	00:00:02.65277083	00:00:02.83293750	
need	00:00:02.87110417	00:00:03.07995833	
shade	00:00:03.08000000	00:00:03.72281250	
in	00:00:03.77006250	00:00:03.90797917	
a	00:00:03.91347917	00:00:03.99997917	
corner.	00:00:04.00000000	00:00:04.59254167	
