Marker file version: 1
Time format: Time
[input]	00:00:00.00000000		BRL-A’s canopy shields them from the sunlight as they grow.
BRL-A’s	00:00:00.09122917	00:00:00.95997917	
canopy	00:00:00.96000000	00:00:01.59997917	
shields	00:00:01.60000000	00:00:02.08739583	
them	00:00:02.10000000	00:00:02.31802083	
from	00:00:02.36114583	00:00:02.55989583	
the	00:00:02.57489583	00:00:02.67997917	
sunlight	00:00:02.68000000	00:00:03.42043750	
as	00:00:03.47106250	00:00:03.76731250	
they	00:00:03.77106250	00:00:03.91995833	
grow.	00:00:03.95293750	00:00:04.50000000	
